Open,High,Low,Close,Date
-1.281011003026249,-1.2858164382318824,-1.275559773803417,-1.289358795400305,0
-1.2904585272009899,-1.284755277706961,-1.2760647750974616,-1.2694184937077826,1
-1.2687494597014335,-1.2139864023111666,-1.2495819360409839,-1.1992493602434184,2
-1.1992203743851797,-1.2059090744318939,-1.1853992051840625,-1.193642277223088,3
-1.1925495445993273,-1.171270271461384,-1.1807778221323553,-1.1608052531514303,4
-1.1618478357417992,-1.1406389702994486,-1.1431448810332367,-1.1269241379353299,5
-1.1253812203771199,-1.1361139268126192,-1.1284521433869277,-1.1245682364963052,6
-1.1259122800705268,-1.1265873613536133,-1.1099233931246915,-1.1239842066843053,7
-1.1241073003147686,-1.1140994785707534,-1.105568356968593,-1.1028595441054374,8
-1.1051970451327706,-1.1003621163722686,-1.0867402812437859,-1.09560140706818,9
-1.0964534441541225,-1.088765791153674,-1.085033980823069,-1.07910413552569,10
-1.0799927524904958,-1.030386594218896,-1.0736549235116164,-1.03084513678069,11
-1.0314703012869002,-1.039840039766056,-1.0421631480963403,-1.031566707838583,12
-1.0326448543310995,-1.034663718416346,-1.0291544304226012,-1.039237379058024,13
-1.0400121372599227,-1.0344128238626824,-1.076908383556996,-1.073542069941888,14
-1.0821843673470715,-1.0014740652334688,-1.0851731767593993,-0.9921992923024395,15
-0.992818013863624,-0.9670160985354457,-0.9748496224318296,-0.9551120116584708,16
-0.9568491865230334,-0.9420694319457645,-0.9437322813025235,-0.9285158520920044,17
-0.9292936257861548,-0.9368249400981936,-0.9506941670661662,-0.959358873705242,18
-0.9602437883989601,-0.8951294665236282,-0.9451288940881433,-0.8830476846640021,19
-0.8838949966713603,-0.887206175179635,-0.894936016813295,-0.8837725167106851,20
-0.8875215103382313,-0.9024834417263707,-1.0485422045051702,-0.9176468495690624,21
-0.921148632232657,-0.8784767122634769,-0.9940680150684894,-0.9844212662312732,22
-0.9822836817218064,-0.9876910884970808,-1.0504348310008136,-1.0293357664123322,23
-1.0344585383358973,-1.0350484603616028,-1.0609931862981128,-1.0398612967890286,24
-1.040332493491806,-0.9561693007430451,-1.024996608803019,-0.9447794880162177,25
-0.9444527886688475,-0.9277985747824123,-0.9452894925095209,-0.9376227397753111,26
-0.9376197157710646,-0.9189905750770482,-0.9293344042424355,-0.9146141926844812,27
-0.9170118416779561,-0.8845782022963499,-0.9153701905425603,-0.8732385189955783,28
-0.8721413686178326,-0.82253871224461,-0.8546974090938292,-0.8118958314467565,29
-0.8093815546478633,-0.8067482512042858,-0.816993331247517,-0.8229294067480263,30
-0.8238148460827212,-0.8137405144722668,-0.8088366279814742,-0.8134508711337375,31
-0.8134487944749457,-0.7962168067207787,-0.8160088369432607,-0.8236147460002907,32
-0.8280053658640908,-0.8159543949770866,-0.8530668056277027,-0.804067622414262,33
-0.8051468723255991,-0.8148324043242484,-0.8212654807197484,-0.8293319965099714,34
-0.8303212000984731,-0.8122808233602531,-0.8392001916518363,-0.8476083563722894,35
-0.8497753822798434,-0.8407626730875373,-0.8439364963607879,-0.848862804912909,36
-0.8507129823885763,-0.8650607098131862,-0.8737522482974479,-0.8743273607798149,37
-0.8869962972706705,-0.9019559667145552,-0.9267263921663941,-0.8995610744042131,38
-0.9019630068181591,-0.8717405632737089,-0.8908373737787885,-0.8753555681192587,39
-0.8736578928613857,-0.814345307018345,-0.8573981006112884,-0.8024472823088986,40
-0.8019664806182124,-0.8094093315349397,-0.7986646116817752,-0.8100611250571573,41
